2026-07-06 21:56:25,480 | INFO | jobs.job_silver | Standardizing Robusta data from ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:56:25,480 | INFO | pipeline | Reading Parquet file: ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:56:25,817 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:56:31,614 | INFO | jobs.job_silver | Standardizing Arabica data from ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:56:31,614 | INFO | pipeline | Reading Parquet file: ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:56:32,038 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:56:37,991 | INFO | jobs.job_silver | Standardizing INMET Patrocínio data from ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:56:37,991 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:56:38,224 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:56:38,960 | INFO | jobs.job_silver | Standardizing INMET Franca data from ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:56:38,961 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:56:39,182 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/inmet/franca/inmet_franca.parquet
2026-07-06 21:56:39,646 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:59:39,000 | INFO | spark_session | Creating Spark session
2026-07-06 21:59:46,533 | INFO | jobs.job_silver | Starting silver standardization jobs...
2026-07-06 21:59:46,533 | INFO | jobs.job_silver | Standardizing IPCA data from ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:59:46,533 | INFO | pipeline | Reading Parquet file: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:59:48,724 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/bcb/ipca/serie_433.parquet
2026-07-06 21:59:51,835 | INFO | jobs.job_silver | Standardizing SELIC data from ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 21:59:51,836 | INFO | pipeline | Reading Parquet file: ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 21:59:52,150 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/bcb/selic/serie_11.parquet
2026-07-06 21:59:52,949 | INFO | jobs.job_silver | Standardizing Robusta data from ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:59:52,949 | INFO | pipeline | Reading Parquet file: ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:59:53,299 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:59:59,039 | INFO | jobs.job_silver | Standardizing Arabica data from ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:59:59,039 | INFO | pipeline | Reading Parquet file: ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:59:59,623 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/cepea/arabica/arabica_cepa.parquet
2026-07-06 22:00:04,784 | INFO | jobs.job_silver | Standardizing INMET Patrocínio data from ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:00:04,785 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:00:04,981 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:00:05,540 | INFO | jobs.job_silver | Standardizing INMET Franca data from ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:00:05,541 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:00:05,970 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/inmet/franca/inmet_franca.parquet
2026-07-06 22:00:06,233 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:03:07,547 | INFO | spark_session | Creating Spark session
2026-07-06 22:03:15,463 | INFO | jobs.job_silver | Standardizing INMET Franca data from ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:03:15,463 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:03:19,982 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:04:19,491 | INFO | spark_session | Creating Spark session
2026-07-06 22:04:27,288 | INFO | jobs.job_silver | Standardizing INMET Franca data from ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:04:27,288 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:04:29,567 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:05:47,445 | INFO | spark_session | Creating Spark session
2026-07-06 22:05:54,887 | INFO | jobs.job_silver | Standardizing INMET Franca data from ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 22:05:54,887 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/franca/inmet_franca.parquet
